English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
action,n,"deed (Barnes), doing, work,do (as, 'all talk and no do'), liveliness, behaving","ysheon (<OE ġescēon, cf. NHG Geschehen)\ndodrive",ysheon ,<OE ġescēon, cf. NHG Geschehen)\ndodrive,,,,,,,,,,,,,,,,,,,,,,,
activate,vb,switch on,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
active,adj,"switched on, snell, deedy;mettlesome, springy; hopping, tied-up","ongoing, doingsome (Barnes), doughty,sprack (Barnes)",ongoing, doingsome ,Barnes), doughty,sprack ,Barnes),,,,,,,,,,,,,,,,,,,,
activist,n,"backer, upholder, fighter, nut, diehard",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
actor(ess),n,"player, showman",showplayer(in),showplayer,in),,,,,,,,,,,,,,,,,,,,,,,,
actual,adj,"sooth, soothfast, true",nowly,nowly,,,,,,,,,,,,,,,,,,,,,,,,,
actually,adv,"indeed, truly, soothly, forsooth, truthfully,\nall in all, truth to tell, word for word","workly, echtly (see echt), wittedly (<OE)",workly, echtly ,see echt), wittedly ,<OE),,,,,,,,,,,,,,,,,,,,,
acupuncture,n,pinpricking,nailhealing,nailhealing,,,,,,,,,,,,,,,,,,,,,,,,,
acute,adj,"sharp, high (Barnes), keen, honed; shrill (accent)",swotel,swotel,,,,,,,,,,,,,,,,,,,,,,,,,
A.D.,adv,in the year of our lord,Y.L.,Y.L.,,,,,,,,,,,,,,,,,,,,,,,,,
ad infinitum,adv,forevermore,"at eke, ekely, for eke, unto everness",at eke, ekely, for eke, unto everness,,,,,,,,,,,,,,,,,,,,,,
adamant,adj,"unyielding, unswayed",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adaptable,adj,-,onwending (cf. Du. aanwendbaar),onwending ,cf. Du. aanwendbaar),,,,,,,,,,,,,,,,,,,,,,,,
adapter,n,-,"eck-on, fayfitter",eck-on, fayfitter,,,,,,,,,,,,,,,,,,,,,,,,
add,vb,"fay, eke\n""fay to this wordbook!""","reckon up, put on, onput (Barnes), at-eke (OE)",reckon up, put on, onput ,Barnes), at-eke ,OE),,,,,,,,,,,,,,,,,,,,
add up,vb,"cast up, tally up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
addict,n,-,soughtier (cf. NHG Süchtiger),soughtier ,cf. NHG Süchtiger),,,,,,,,,,,,,,,,,,,,,,,,
addicted,adj,-,soughty (cf. NHG süchtig),soughty ,cf. NHG süchtig),,,,,,,,,,,,,,,,,,,,,,,,
addiction,n,"craving, yearning",sought (<ME soght cf. NHG Sucht),sought ,<ME soght cf. NHG Sucht),,,,,,,,,,,,,,,,,,,,,,,,
addition,n,faying,togive,togive,,,,,,,,,,,,,,,,,,,,,,,,,
additional,adj,-,"bycoming (Du. bijkomend), coming by",bycoming ,Du. bijkomend), coming by,,,,,,,,,,,,,,,,,,,,,,,
additionally,adv,"again, also, besides, either, further, furthermore, likewise, moreover, then, too, withal, yet, over and above",eke (also),eke ,also),,,,,,,,,,,,,,,,,,,,,,,,
address,n,-,"sitline (<OE: asittan 'to live together'), callword",sitline ,<OE: asittan 'to live together'), callword,,,,,,,,,,,,,,,,,,,,,,,
adept,adj,"skillful, skilled, good, deft",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adequate,adj,"right, even, fair, fit, befitting, becoming",makeshift/ make-do,makeshift/ make-do,,,,,,,,,,,,,,,,,,,,,,,,,
adhere,vb,"cling, stick, cleave to,follow, stand by",at-cleave (<OE)oncleave (Barnes),at-cleave ,<OE)oncleave ,Barnes),,,,,,,,,,,,,,,,,,,,,,,
adherence to good morals,n,-,thewfastness,thewfastness,,,,,,,,,,,,,,,,,,,,,,,,,
