English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
regret,vb,rue,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
regular,adj,everyday; steady,reghelish (reghel borrowed from Latin to OE),reghelish ,reghel borrowed from Latin to OE),,,,,,,,,,,,,,,,,,,,,,,,
regulate,vb,"oversee, wield, steer, lead",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
regulation,n,"wielding, overseeing, law",insetness (<OE insetnes),insetness ,<OE insetnes),,,,,,,,,,,,,,,,,,,,,,,,
regulator,n,overseer,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reign,vb,(cf. regulate),"rix (<OE rīxian, rīcsian), overbebeed (<OE oferbebēodan)",rix ,<OE rīxian, rīcsian), overbebeed ,<OE oferbebēodan),,,,,,,,,,,,,,,,,,,,,
rein,vb/n,-,tygel (<OE),tygel ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
reïnforce,vb,"strengthen, trim, gird, bolster, harden up, uphold, make firm, underset",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reject,vb/n,"n: casting off, outcast\nvb: nix; cast off, dump, fling off/away, slough off, throw away, toss, unload; spurn","n: forwarp (<OE forweorpan), withchoose (<OE wiþceosan)\nvb: forwerp\nofflean (cf. NHG ablehnen)\noffwise (calque of many germ. languages)",n: forwarp ,<OE forweorpan), withchoose ,<OE wiþceosan)\nvb: forwerp\nofflean ,cf. NHG ablehnen)\noffwise ,calque of many germ. languages),,,,,,,,,,,,,,,,,,,,
rejoice,vb,-,driem (<OE drīeman),driem ,<OE drīeman),,,,,,,,,,,,,,,,,,,,,,,,
rejoice with,vb,-,"driem with, evenbliss (<OE evenblisan)",driem with, evenbliss ,<OE evenblisan),,,,,,,,,,,,,,,,,,,,,,,
rejuvenate,vb,"freshen, youthen","edyoung\nre- (“again”) +‎ Latin iuvenis (“young”) +‎ -ate\nSo, Gainyouthen or, Withyouthen \nForyouthen (NHG, verjüngen)",edyoung\nre- ,“again”) +‎ Latin iuvenis ,“young”) +‎ -ate\nSo, Gainyouthen or, Withyouthen \nForyouthen ,NHG, verjüngen),,,,,,,,,,,,,,,,,,,
relapse,vb,backslide,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
relate,phr vb,"bond, click; link",kithe (<OE cythan),kithe ,<OE cythan),,,,,,,,,,,,,,,,,,,,,,,,
related,adj,"akin (to), kindred, sibbed to, tosameness",forwent (cf. NHG verwandt),forwent ,cf. NHG verwandt),,,,,,,,,,,,,,,,,,,,,,,,
relative(s),n,"kin, kindred, kinfolk, kinsmen, kinship, sib, sibling, bysib, own flesh & blood","blood-bondling, bloodsib close: hyldenmay (<OE hyldenmǣġ)\nmurder of: maymurder (<OE mǣġmorðor), kinslaughter",blood-bondling, bloodsib close: hyldenmay ,<OE hyldenmǣġ)\nmurder of: maymurder ,<OE mǣġmorðor), kinslaughter,,,,,,,,,,,,,,,,,,,,,
relations,n,"dealings, bond, link up, hook up, tie up, fellowship",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
relationship,n,"kinship, bearing; hookup, linkup, tie-up",maythhood (<OE mǣġðhād,maythhood ,<OE mǣġðhād,,,,,,,,,,,,,,,,,,,,,,,,
relax,vb,"chill (out),  loosen up, mellow out, unwind; ease, loosen, slack","unspan (<OE onspannan, cf. NHG entspannen)",unspan ,<OE onspannan, cf. NHG entspannen),,,,,,,,,,,,,,,,,,,,,,,
relaxation,n,fun and games; ease,stillness (<OE stillnes/stilnes)unspan (<OE spannen),stillness ,<OE stillnes/stilnes)unspan ,<OE spannen),,,,,,,,,,,,,,,,,,,,,,,
relaxed,adj,"smooth, loose, mellow",unspant,unspant,,,,,,,,,,,,,,,,,,,,,,,,,
release,vb,"free, let go, loosen",alease,alease,,,,,,,,,,,,,,,,,,,,,,,,,
reliable,adj,trustworthy,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
relieve,n,"lighten, soothe, unburden, allay, still (the fears), salve, alight",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
religion,n,"worship, troth",lief,lief,,,,,,,,,,,,,,,,,,,,,,,,,
religious,adj,worshipful,liefbound,liefbound,,,,,,,,,,,,,,,,,,,,,,,,,
relinquish,vb,"cough up, give up, hand over, yield; step down","upgive, agive (<OE agiefan, cf. NHG ergeben)",upgive, agive ,<OE agiefan, cf. NHG ergeben),,,,,,,,,,,,,,,,,,,,,,
reluctant,adj,"chary, unwilling, loath",pullbackish,pullbackish,,,,,,,,,,,,,,,,,,,,,,,,,
remain,vb,-,"belive (<OE belifan, cf. NHG bleiben, Du. blijven)\nbide, linger",belive ,<OE belifan, cf. NHG bleiben, Du. blijven)\nbide, linger,,,,,,,,,,,,,,,,,,,,,
remainder,n,-,"lave, dross, orts",lave, dross, orts,,,,,,,,,,,,,,,,,,,,,,,
remains,n,"ashes, rubble, wreck; bones, stiff; leavings, leftovers, odds and ends",laves,laves,,,,,,,,,,,,,,,,,,,,,,,,,
remedy,n,"heeling, salve, boot (etymology 3)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
remember,vb,"hark back, mind, think of, call to mind, bethink, mark, withcall, beholdmemorize: bear in mind","edcall, eftcall, amone (<OE ġemunan), mind back, umbethink (<dialectal North & Scots English)memorize: inmind, stockmind, inkeep",edcall, eftcall, amone ,<OE ġemunan), mind back, umbethink ,<dialectal North & Scots English)memorize: inmind, stockmind, inkeep,,,,,,,,,,,,,,,,,
remind,vb,call to mind,"mane (<OE manian), edmind, eftmind, incall",mane ,<OE manian), edmind, eftmind, incall,,,,,,,,,,,,,,,,,,,,,
reminder,n,-,"edminding, eftminding, umbethinking (<dialectal North & Scots English), incalling",edminding, eftminding, umbethinking ,<dialectal North & Scots English), incalling,,,,,,,,,,,,,,,,,,,,,
reminisce,vb,-,eftmind,eftmind,,,,,,,,,,,,,,,,,,,,,,,,,
remnant,n,leftover,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
remote,adj,"slight, slim, small; cold-eyed, stadoffish; hidden; deep, far-flung",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
remote controlled (RC),adj,wirelessly steered,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
remove,vb,"foredo (with immaterial object), unstay (<Old French <Middle Netherlandish), take out, draw out",unshrithe,unshrithe,,,,,,,,,,,,,,,,,,,,,,,,,
renaissance,n,-,"andblowing, agenbirth (agen (Again)+birth)",andblowing, agenbirth ,agen ,Again)+birth),,,,,,,,,,,,,,,,,,,,,,
renal,adj,kidney,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
rename,vb,-,"edname, agenclepe, edclepe, ed-deem",edname, agenclepe, edclepe, ed-deem,,,,,,,,,,,,,,,,,,,,,,
render,vb,"cough up, give up, hand over, yield",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
renew,vb,-,ednew (<OE edniwian),ednew ,<OE edniwian),,,,,,,,,,,,,,,,,,,,,,,,
renewal,n,-,ednewing,ednewing,,,,,,,,,,,,,,,,,,,,,,,,,
renewed,adj,-,ednewed,ednewed,,,,,,,,,,,,,,,,,,,,,,,,,
renounce,vb,"give up, forsake, step aside, step down; forswear, take back, unsay, withdraw, withsake",asake ~ past: asook,asake ~ past: asook,,,,,,,,,,,,,,,,,,,,,,,,,
renovate,vb,fix Old French,ednew (<OE edniwian),ednew ,<OE edniwian),,,,,,,,,,,,,,,,,,,,,,,,
reorganize,vb,-,edstight,edstight,,,,,,,,,,,,,,,,,,,,,,,,,
repair,vb,mend,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
repartee,n,backchat,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
repeat,vb,say again,"edsay, edledge (<OE edlǽcan)\nwithhaul (NHG. Wiederholen)",edsay, edledge ,<OE edlǽcan)\nwithhaul ,NHG. Wiederholen),,,,,,,,,,,,,,,,,,,,,,
repeater,n,-,electronics: withhauler,electronics: withhauler,,,,,,,,,,,,,,,,,,,,,,,,,
repel,vb,"beat off, withdrive; buck, withstand",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
repent,vb,"bemoan, rue","forthink (cited by William Tyndale), after-think (Lancashire dialect)",forthink ,cited by William Tyndale), after-think ,Lancashire dialect),,,,,,,,,,,,,,,,,,,,,,
repercussions,vb,-,kickback,kickback,,,,,,,,,,,,,,,,,,,,,,,,,
repetition,n,-,edsaying,edsaying,,,,,,,,,,,,,,,,,,,,,,,,,
replace,vb,-,"aset (a- + set, cf. NHG ersetzten)\nsubstitue: outtrade (cf. NHG austauschen) \nedstowe, right (<OE rihtan)",aset ,a- + set, cf. NHG ersetzten)\nsubstitue: outtrade ,cf. NHG austauschen) \nedstowe, right ,<OE rihtan),,,,,,,,,,,,,,,,,,,,
replenish,vb,"fill up, fill, make full again",edfill,edfill,,,,,,,,,,,,,,,,,,,,,,,,,
reply,vb/n,answer,"andword (<OE andwyrd; cf. NHG Antwort, Du. antwoord)\nAndsware (<OE andsware)",andword ,<OE andwyrd; cf. NHG Antwort, Du. antwoord)\nAndsware ,<OE andsware),,,,,,,,,,,,,,,,,,,,,,
report,n,-,bewriting,bewriting,,,,,,,,,,,,,,,,,,,,,,,,,
repose,n,rest,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
repository,n,hoard,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reprehensible,adj,-,forwarply (cf. NHG verwerflich),forwarply ,cf. NHG verwerflich),,,,,,,,,,,,,,,,,,,,,,,,
represent,vb,"stand for, betoken","aspell, fortread (cf. NHG vertreten)",aspell, fortread ,cf. NHG vertreten),,,,,,,,,,,,,,,,,,,,,,,
representative,n,spokes(wo)man,"atstandand (<OE ætstandend)\naspellend, fortreader (cf. NHG Vertreter)",atstandand ,<OE ætstandend)\naspellend, fortreader ,cf. NHG Vertreter),,,,,,,,,,,,,,,,,,,,,,
repress,vb,"crack down on, crush, slap down, snuff out; hold back, sink, swallow","bethryck (<be + OE þryccan, ""press down"")",bethryck ,<be + OE þryccan," ""press down"")",,,,,,,,,,,,,,,,,,,,,,,
reprimand,vb,"upbraid, tell off",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reprove,vb,"chide, tick off: mislike, tut over","wite, threap (<OE þréapan)",wite, threap ,<OE þréapan),,,,,,,,,,,,,,,,,,,,,,,
reproach,vb,"bawl out, berate, call down, flay, rag, upbraid: chide, tick off",threigh (<OE þrēagan),threigh ,<OE þrēagan),,,,,,,,,,,,,,,,,,,,,,,,
reptile,n,creeping thing (found in Bibles; translation of Hebrew),creepdeer (cf Nw. krypdyr)crawldeer (cf Sw. kräldjur),creepdeer ,cf Nw. krypdyr)crawldeer ,cf Sw. kräldjur),,,,,,,,,,,,,,,,,,,,,,,
republic,n,-,"ledeward, mootrick",ledeward, mootrick,,,,,,,,,,,,,,,,,,,,,,,,
reputation,n,"mark, name",namecouth (<OE namcuþ),namecouth ,<OE namcuþ),,,,,,,,,,,,,,,,,,,,,,,,
request,vb,"ask, put in: beseech, call for, seek",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
require,vb,"need, tharf",onseek (<OE onsécan),onseek ,<OE onsécan),,,,,,,,,,,,,,,,,,,,,,,,
requirement,n,"need, must",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
requite,vb,"get even for, make good, atone, meed (see MW dictionary)","forguld (<ME forgulde), foryield (<OE forġieldan, cf. ME foryelden) foryeild (scots variant),",forguld ,<ME forgulde), foryield ,<OE forġieldan, cf. ME foryelden) foryeild ,scots variant),,,,,,,,,,,,,,,,,,,,
rescribe,vb,write back,edwrite,edwrite,,,,,,,,,,,,,,,,,,,,,,,,,
rescue,vb,"free, bring off","nere (<OE ánerian, NHG nähren)\nredd (<OE hreddan “to save, deliver, recover, rescue”, cf. NHG./Du./Dan./Now. retten)",nere ,<OE ánerian, NHG nähren)\nredd ,<OE hreddan “to save, deliver, recover, rescue”, cf. NHG./Du./Dan./Now. retten),,,,,,,,,,,,,,,,,,
research,vb,"dig into, look into, delve into","speer (<OE spyrian), underseek",speer ,<OE spyrian), underseek,,,,,,,,,,,,,,,,,,,,,,,
resemblance,n,"alikeness, look, blee, bly",suchness,suchness,,,,,,,,,,,,,,,,,,,,,,,,,
resemble,v,"seem like, look like, belike","alike (cf. Du. gelijken, NHG gleichen)",alike ,cf. Du. gelijken, NHG gleichen),,,,,,,,,,,,,,,,,,,,,,,
resentment,n,"down; huff, miff",hattleness,hattleness,,,,,,,,,,,,,,,,,,,,,,,,,
reservation,n,booking,forebeholding (cf. NHG Vorbehaltung),forebeholding ,cf. NHG Vorbehaltung),,,,,,,,,,,,,,,,,,,,,,,,
reserve,adj,spare,"berg, forehold (cf. NHG vorbehalten)",berg, forehold ,cf. NHG vorbehalten),,,,,,,,,,,,,,,,,,,,,,,
reserved,adj,character: withdrawnbooked,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reservoir,n,-,waterberg,waterberg,,,,,,,,,,,,,,,,,,,,,,,,,
reside,vb,"live, dwell","abide, wone, erde, wick",abide, wone, erde, wick,,,,,,,,,,,,,,,,,,,,,,
residence,n,"home, dwelling","abode, erding, erdingstowpermit: dwell-leave (cf. Ic. dvalarleyfi), abode-leave",abode, erding, erdingstowpermit: dwell-leave ,cf. Ic. dvalarleyfi), abode-leave,,,,,,,,,,,,,,,,,,,,,
residue,n,"ashes, rubble, wreck; leavings, leftovers, odds and ends",stufflave,stufflave,,,,,,,,,,,,,,,,,,,,,,,,,
resign,vb,"step down, forlet, bow out",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
resilient,adj,"springy, limber",wending,wending,,,,,,,,,,,,,,,,,,,,,,,,,
resist,vb,"withset, withstand, hinder, stand up to",withlay,withlay,,,,,,,,,,,,,,,,,,,,,,,,,
resistance,n,withsetting,"withlaying, backlash",withlaying, backlash,,,,,,,,,,,,,,,,,,,,,,,,
resistant,adj,"steady, steadfast, abiding, withstanding",bestandy/bestanding (NHG. beständig),bestandy/bestanding ,NHG. beständig),,,,,,,,,,,,,,,,,,,,,,,,
resolute,adj,set,"one-minded, stith (<OE stiþ)",one-minded, stith ,<OE stiþ),,,,,,,,,,,,,,,,,,,,,,,
resonate,vb,-,withswing (cf. NHG mitschwingen),withswing ,cf. NHG mitschwingen),,,,,,,,,,,,,,,,,,,,,,,,
resort,vb,-,"brook, betake",brook, betake,,,,,,,,,,,,,,,,,,,,,,,,
resource,vb,-,orshaft,orshaft,,,,,,,,,,,,,,,,,,,,,,,,,
respawn,vb,-,backbirth,backbirth,,,,,,,,,,,,,,,,,,,,,,,,,
respect,vb,-,aughten (<NHG. achten) (see aught),aughten ,<NHG. achten) ,see aught),,,,,,,,,,,,,,,,,,,,,,,
respectable,adj,-,aughtworthy,aughtworthy,,,,,,,,,,,,,,,,,,,,,,,,,
respectful,adj,-,aughtful (cf. NHG achtvoll),aughtful ,cf. NHG achtvoll),,,,,,,,,,,,,,,,,,,,,,,,
respond,vb,answer,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
response,n,"answer, feedback",- Andsware/Andswere (<OE),- Andsware/Andswere ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
responsibility,n,"plight, plighting",Foranswering (NHG. Verantwortung),Foranswering ,NHG. Verantwortung),,,,,,,,,,,,,,,,,,,,,,,,
responsible,adj,"trustworthy, upstanding, bedrock, sound, plighted",Foranswerly (NHG. Verantwortlich)\nguilt: shildy (OE),Foranswerly ,NHG. Verantwortlich)\nguilt: shildy ,OE),,,,,,,,,,,,,,,,,,,,,,,
responsive,adj,"quick, awake, sharp, open-minded, quick-minded, willing, answering",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
rest (else),n,leftover,laf (<OE),laf ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
restart,vb,-,"edstar, start anew (from scratch)",edstar, start anew ,from scratch),,,,,,,,,,,,,,,,,,,,,,,
restaurant,n,cheap: beanery\nfoodhouse,"mealhall, reardhall (OE reordan 'to feast')",mealhall, reardhall ,OE reordan 'to feast'),,,,,,,,,,,,,,,,,,,,,,,
restore(ation),n,freshen(ing),"ednew(ing) (<OE edniwung)\nedstow(ing), edstall(ing)",ednew,ing) ,<OE edniwung)\nedstow,ing), edstall,ing),,,,,,,,,,,,,,,,,,,,
restored to life,pt phr,-,edcwickened (<OE edcwic),edcwickened ,<OE edcwic),,,,,,,,,,,,,,,,,,,,,,,,
restrain,vb,"bridle, fetter",belean (<OE),belean ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
restraint,n,"bridle, fetter",beleaning,beleaning,,,,,,,,,,,,,,,,,,,,,,,,,
restrict,v,,betighten,betighten,,,,,,,,,,,,,,,,,,,,,,,,,
restriction,n,,betightening,betightening,,,,,,,,,,,,,,,,,,,,,,,,,
result,n,"outcome, outfollow, upshot, aftermath","offleading (<Ic. af-leiðing), edspring (calque), eftspring (calque), fint (<OE finta, meaning 'consequence, result' also 'tail'), wastom (<OE wæstm)",offleading ,<Ic. af-leiðing), edspring ,calque), eftspring ,calque), fint ,<OE finta, meaning 'consequence, result' also 'tail'), wastom ,<OE wæstm),,,,,,,,,,,,,,
resurrect,vb,gainrise (Cheke),edsty/edstie (<OE stīgan),edsty/edstie ,<OE stīgan),,,,,,,,,,,,,,,,,,,,,,,,
resurrection,n,gainrising (Cheke),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
retail,vb,"deal in, sell, put up",fordrive (cf. NHG vertreiben),fordrive ,cf. NHG vertreiben),,,,,,,,,,,,,,,,,,,,,,,,
retain,vb,"keep, withhold; hire",athave,athave,,,,,,,,,,,,,,,,,,,,,,,,,
retaliate,vb,"hit back, strike back, take an eye for an eye","yield back, wend upon, foryield (<OE forgieldan) (c.f. NHG. vergelten)",yield back, wend upon, foryield ,<OE forgieldan) ,c.f. NHG. vergelten),,,,,,,,,,,,,,,,,,,,,
retaliation,n,-,foryielding (c.f. NHG. Vergeltung),foryielding ,c.f. NHG. Vergeltung),,,,,,,,,,,,,,,,,,,,,,,,
retard,vb,"break, slacken",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
retardation,n,-,"backwardness, beslowedness",backwardness, beslowedness,,,,,,,,,,,,,,,,,,,,,,,,
retina,n,,nethide (calque of German Netzhaut),nethide ,calque of German Netzhaut),,,,,,,,,,,,,,,,,,,,,,,,
retire,vb,"withdraw, yield, pull out",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
retirement,n,-,"forleaving, withdrawing",forleaving, withdrawing,,,,,,,,,,,,,,,,,,,,,,,,
retort,n,"yieldback, wisecrack, backlash",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
retract,vb,"take back, withdraw",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
retreat,vb,withdraw,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
retrieve,vb,fetch,withfind,withfind,,,,,,,,,,,,,,,,,,,,,,,,,
retrograde,adj,backward,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
return,vb,come back,"edwhirve (<OE edhwirfan), edwend, andgive",edwhirve ,<OE edhwirfan), edwend, andgive,,,,,,,,,,,,,,,,,,,,,,
reveal,vb,"bare, unsheath, unfold, unlock","yondshow, unhele, swettle",yondshow, unhele, swettle,,,,,,,,,,,,,,,,,,,,,,,
revel,vb,"bathe, wallow, frolic",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
revelry,n,merry-making,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
revenant,n,-,andcomer,andcomer,,,,,,,,,,,,,,,,,,,,,,,,,
revenge,n,"wrack, wreak",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reverberation,n,-,withercling,withercling,,,,,,,,,,,,,,,,,,,,,,,,,
revenge porn,n,,wrackful whoreshowing,wrackful whoreshowing,,,,,,,,,,,,,,,,,,,,,,,,,
revere,vb,worship,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reverend,adj,hallowed,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
reverie,n,"daydreaming, woolgathering",sweven,sweven,,,,,,,,,,,,,,,,,,,,,,,,,
reverse/reversal,n,"knock, setback; flip-flop",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
revert,vb,-,andwharve,andwharve,,,,,,,,,,,,,,,,,,,,,,,,,
revive,vb,"freshen, breathe life back into",edquicken (<OE edcwician),edquicken ,<OE edcwician),,,,,,,,,,,,,,,,,,,,,,,,
revolution,n,-,"ywhorft (<OE gehwyrft), overhaul, overthrow, overthrowing, uprisin\nturning: whorft (<OE hwyrft), umbewrithing",ywhorft ,<OE gehwyrft), overhaul, overthrow, overthrowing, uprisin\nturning: whorft ,<OE hwyrft), umbewrithing,,,,,,,,,,,,,,,,,,
revolve,vb,spin,umbwerve,umbwerve,,,,,,,,,,,,,,,,,,,,,,,,,
reward,vb,-,meed; afterlean (OE léanian),meed; afterlean ,OE léanian),,,,,,,,,,,,,,,,,,,,,,,,
rhetoric,n,wind,"mathelcraft (OE maðelung), speechcraft",mathelcraft ,OE maðelung), speechcraft,,,,,,,,,,,,,,,,,,,,,,,
rhinoceros,n,-,"nosehorn (calque of Gk. rhinokeros (rhinos ""nose"" + keras ""horn""; cf. Du. neushoorn, NHG Nashorn)\nhornpig, hornhog, hornswine",nosehorn ,calque of Gk. rhinokeros ,"rhinos ""nose"" + keras ""horn""; cf. Du. neushoorn", NHG Nashorn)\nhornpig, hornhog, hornswine,,,,,,,,,,,,,,,,,,,,
rhombus,n,-,rout (cf. Du. ruit; Ger. raute),rout ,cf. Du. ruit; Ger. raute),,,,,,,,,,,,,,,,,,,,,,,,
rhotacism,n,-,"arbrookdom, r-brook(ing)",arbrookdom, r-brook,ing),,,,,,,,,,,,,,,,,,,,,,,
rhotic,adj,-,"arfully, r-ly",arfully, r-ly,,,,,,,,,,,,,,,,,,,,,,,,
rhoticity,n,-,"arfulness, r-ness",arfulness, r-ness,,,,,,,,,,,,,,,,,,,,,,,,
rhyme,n,rime,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
rhythm,n,riff,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ridiculous,adj,"chucklesome, sidesplitting, silly",laugtherly (<OE hleahterlic),laugtherly ,<OE hleahterlic),,,,,,,,,,,,,,,,,,,,,,,,
rifle,n,-,"scratchgun, shattergun, shouldershooter (<OE sculdorscēota), furrowgun (<OE furhscēota)",scratchgun, shattergun, shouldershooter ,<OE sculdorscēota), furrowgun ,<OE furhscēota),,,,,,,,,,,,,,,,,,,,
righteous(ness),adj,-,rightwise(ness) (<OE rihtwís(nes)),rightwise,ness) ,<OE rihtwís,nes)),,,,,,,,,,,,,,,,,,,,,,
rigid,adj,"stiff, hard",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
rigorous,adj,thorough,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
rinse,vb,-,"spule/aspule (<OE āspylian, cf. Du. spoelen, NHG spülen)",spule/aspule ,<OE āspylian, cf. Du. spoelen, NHG spülen),,,,,,,,,,,,,,,,,,,,,,
riot/revolt/rebellion,n,-,crowdburst,crowdburst,,,,,,,,,,,,,,,,,,,,,,,,,
risk,n,"gamble, long shot",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
risky,n,gamblesome,unsound,unsound,,,,,,,,,,,,,,,,,,,,,,,,,
river,n,"ea, aa, stream, flow, flood","estuary: fleet (<OE fleot, ?Ebbsfleet)\nflood (<OE flōd)",estuary: fleet ,<OE fleot, ?Ebbsfleet)\nflood ,<OE flōd),,,,,,,,,,,,,,,,,,,,,,
rite,n,-,"right, geright (<OE gerihte)\nonsayedness (<OE onsægednes)",right, geright ,<OE gerihte)\nonsayedness ,<OE onsægednes),,,,,,,,,,,,,,,,,,,,,,
ritual,n/adj,,ae (<OE æ)right (<OE gerihte),ae ,<OE æ)right ,<OE gerihte),,,,,,,,,,,,,,,,,,,,,,,
river course,n,flow,?fleetway,?fleetway,,,,,,,,,,,,,,,,,,,,,,,,,
rivulet,n,"brook, stream, runnel, rith, sike\nrindle small water course or gutter","small stream: riþ (word still found in N Frisian ride, rie 'bed of running water')\nburn, bourn (<OE burna 'brook, stream, spring or well water')",small stream: riþ ,word still found in N Frisian ride, rie 'bed of running water')\nburn, bourn ,<OE burna 'brook, stream, spring or well water'),,,,,,,,,,,,,,,,,,,
"rob (though it first came from french the word is germanic, from frankish ""robon"" )",v,"sneaky filch\nviolent bereave, steal",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
robbery,n,sneaky filching\nviolent reaving,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
robin,n,redbreast,ruddock,ruddock,,,,,,,,,,,,,,,,,,,,,,,,,
robust,adj,"fit, hale, hearty, sound, whole; flush, lusty, ful-blooded: big, full, plush, rich; strong",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
robot,n,-,"wileman (cf. Ic. vélmenni), sparkman, sparkthrall",wileman ,cf. Ic. vélmenni), sparkman, sparkthrall,,,,,,,,,,,,,,,,,,,,,,
rocket,n,-,"rock, rocker (OHG. rocko ""distaff,"" ON. rokkr)",rock, rocker ,"OHG. rocko ""distaff",""" ON. rokkr)",,,,,,,,,,,,,,,,,,,,,,
rodent,n,gnawer,gnawdeer (cf. Du. knaagdier),gnawdeer ,cf. Du. knaagdier),,,,,,,,,,,,,,,,,,,,,,,,
rogue,n/adj,-,shirk,shirk,,,,,,,,,,,,,,,,,,,,,,,,,
role,n,"playwork, deedwork",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
roll\nrolling-paper/cigarette-paper/Rizla,vb,"vb: trundle\nskins (attested), smoking-skins",vb: \nonspin,vb: \nonspin,,,,,,,,,,,,,,,,,,,,,,,,,
roller skates,n,-,rollshoes (cf. NHG Rollschuh)\nroller shoes,rollshoes ,cf. NHG Rollschuh)\nroller shoes,,,,,,,,,,,,,,,,,,,,,,,,
rollercoaster,n,"big dipper, switchback",eightway (cf. Du. achtbaan; NHG Achterbahn),eightway ,cf. Du. achtbaan; NHG Achterbahn),,,,,,,,,,,,,,,,,,,,,,,,
roman,adj,-,romish,romish,,,,,,,,,,,,,,,,,,,,,,,,,
romance,n,"love-tale, wonder-tale",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
romanticism,n,-,lovecraft\nstorm-and-throng (cf. H Du. Sturm und Drang),lovecraft\nstorm-and-throng ,cf. H Du. Sturm und Drang),,,,,,,,,,,,,,,,,,,,,,,,
rooster,n,"cock (but ""rooster"" is also from a native root)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
rose (flower),n,-,"loveblossom, lovebloom",loveblossom, lovebloom,,,,,,,,,,,,,,,,,,,,,,,,
rotate,vb,spin,werve,werve,,,,,,,,,,,,,,,,,,,,,,,,,
rotisserie,n,-,"spincooker, wervecooker",spincooker, wervecooker,,,,,,,,,,,,,,,,,,,,,,,,
rotund,adj,wheelshaped,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
round,adj,wheelshaped,trind (shaped from OE trinda and NE trindle),trind ,shaped from OE trinda and NE trindle),,,,,,,,,,,,,,,,,,,,,,,,
route,n,"pathway, way",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
router,n,networking: gateway (sometimes),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
royal,adj,"kingly, cweenly",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
royalty,n,kingship,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ruby,adj/n,-,redhurst,redhurst,,,,,,,,,,,,,,,,,,,,,,,,,
rude,adj,"unbehaved, uncouth",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ruin,vb/n,"wreck, mar, downfall",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
rule,n,law,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
